county_tract,count_bagel_shops,rating_num,total_pop,state_county_tract,ALAND_SQMI,bagel_per_capita,bagel_per_capita_sq
047016000,5,3.0,3965.0,36047016000,0.1,1.2610340479192939,1.1229577231219765
047018300,5,3.0,2675.0,36047018300,0.053,1.8691588785046729,1.3671718540493265
047044000,5,2.6666666666666665,2809.0,36047044000,0.078,1.7799928800284799,1.3341637380878255
047020600,5,3.6,2311.0,36047020600,0.066,2.163565556036348,1.4709063722876272
047021300,5,3.4,4113.0,36047021300,0.071,1.2156576707999027,1.1025686694260375
047053400,5,3.25,4232.0,36047053400,0.067,1.1814744801512287,1.0869565217391304
047053500,5,3.8,3708.0,36047053500,0.05,1.348435814455232,1.1612216904860295
047054700,5,3.8,5724.0,36047054700,0.066,0.8735150244584207,0.9346202568200738
047055500,5,3.4,7696.0,36047055500,0.101,0.6496881496881497,0.8060323502739513
047056000,5,3.4,3482.0,36047056000,0.071,1.4359563469270535,1.1983139600818533
047056200,5,3.4,1655.0,36047056200,0.066,3.0211480362537766,1.7381449986274955
047057100,5,3.25,4038.0,36047057100,0.068,1.2382367508667658,1.112760868680583
047058400,5,3.4,3479.0,36047058400,0.073,1.4371945961483186,1.198830511852413
047058600,5,3.4,2772.0,36047058600,0.063,1.8037518037518037,1.3430382733756339
047058800,5,3.25,3269.0,36047058800,0.062,1.5295197308045274,1.2367375351320617
047059000,5,3.25,1834.0,36047059000,0.061,2.7262813522355507,1.651145466709566
047059401,5,3.2,7396.0,36047059401,0.162,0.6760411032990806,0.8222171874262181
047060800,5,2.75,3545.0,36047060800,0.155,1.4104372355430184,1.1876183038093588
047067000,5,2.0,2934.0,36047067000,0.08,1.7041581458759374,1.3054340833132623
047068000,5,2.0,2185.0,36047068000,0.065,2.288329519450801,1.512722552040129
061023802,5,3.0,6086.0,36061023802,0.094,0.821557673348669,0.9063981869734014
047075400,5,3.5,1294.0,36047075400,0.067,3.8639876352395675,1.9657028349268786
047075600,5,3.25,2150.0,36047075600,0.067,2.3255813953488373,1.5249857033260468
047076200,5,3.5,4285.0,36047076200,0.073,1.1668611435239205,1.08021347127497
047076800,5,3.25,3219.0,36047076800,0.117,1.5532774153463809,1.2463055064254434
061019900,5,3.8,8786.0,36061019900,0.087,0.5690871841566129,0.7543786742456423
061019701,5,3.8,639.0,36061019701,0.091,7.82472613458529,2.7972711943222968
061019300,5,3.8,10255.0,36061019300,0.068,0.4875670404680643,0.6982600092143788
061019000,5,4.0,3734.0,36061019000,0.04,1.339046598821639,1.1571718104160846
061018500,5,3.2,4893.0,36061018500,0.05,1.0218679746576744,1.0108748560814411
081068300,5,3.3333333333333335,3970.0,36081068300,0.094,1.2594458438287153,1.1222503481080839
061016600,5,3.6,6377.0,36061016600,0.067,0.7840677434530343,0.8854759982365611
081067700,5,3.25,1883.0,36081067700,0.072,2.655337227827934,1.6295205515205797
061015100,5,2.3333333333333335,10143.0,36061015100,0.129,0.4929508035098097,0.7021045531185578
047052900,5,3.8,3443.0,36047052900,0.068,1.4522218995062446,1.205081698270389
047049500,5,2.6666666666666665,2600.0,36047049500,0.05,1.9230769230769231,1.3867504905630728
047048100,5,2.6666666666666665,2967.0,36047048100,0.058,1.6852039096730704,1.2981540392700206
047033900,5,3.0,4538.0,36047033900,0.07,1.1018069634200087,1.049669930702032
047021500,5,3.8,5638.0,36047021500,0.059,0.886839304717985,0.9417214581382252
047021700,5,3.75,3733.0,36047021700,0.046,1.339405304045004,1.1573267922436619
